Entity,Year,Code,Male (males suffering from depression),Female (females suffering from depression),Male Population,Female Population,Percentage of Male Suffering from Depression,Percentage of Female Suffering from Depression
Malaysia,1994,MYS,248566.4242,301192.187,10174527,9812365,2.44%,3.07%
Malaysia,1995,MYS,256677.2214,311230.6934,10432748,10062856,2.46%,3.09%
Malaysia,1996,MYS,264040.428,318833.8878,10700870,10322456,2.47%,3.09%
Malaysia,1997,MYS,271870.635,327054.6103,10976503,10588818,2.48%,3.09%
Malaysia,1998,MYS,280007.6835,336877.7954,11256501,10856960,2.49%,3.10%
Malaysia,1999,MYS,288279.0854,345780.9096,11536280,11120002,2.50%,3.11%
Malaysia,2000,MYS,297135.2566,355906.7207,11812507,11373103,2.52%,3.13%
Malaysia,2001,MYS,309200.5814,371328.9208,12084280,11614622,2.56%,3.20%
Malaysia,2002,MYS,321307.6425,386401.0675,12352627,11846189,2.60%,3.26%
Malaysia,2003,MYS,334469.2508,403782.2806,12618471,12070230,2.65%,3.35%
Malaysia,2004,MYS,347853.1997,421435.3106,12883462,12290644,2.70%,3.43%
Malaysia,2005,MYS,361829.5718,440718.829,13148877,12510515,2.75%,3.52%
Malaysia,2006,MYS,369832.5238,452504.8879,13413779,12729793,2.76%,3.55%
Malaysia,2007,MYS,377966.9343,464709.0878,13677687,12948161,2.76%,3.59%
Malaysia,2008,MYS,385766.1296,476874.0775,13942891,13168178,2.77%,3.62%
Malaysia,2009,MYS,395575.3741,490484.998,14212426,13392952,2.78%,3.66%
Malaysia,2010,MYS,403959.7159,502696.3417,14487868,13624432,2.79%,3.69%
Malaysia,2011,MYS,414865.1088,520575.5196,14770994,13864140,2.81%,3.75%
Malaysia,2012,MYS,427285.2021,538952.0066,15059566,14110891,2.84%,3.82%
Malaysia,2013,MYS,438782.2668,556050.6801,15346228,14360499,2.86%,3.87%
Malaysia,2014,MYS,450013.5171,572168.9551,15620994,14607025,2.88%,3.92%
Malaysia,2015,MYS,462720.5977,591341.9438,15876923,14846228,2.91%,3.98%
Malaysia,2016,MYS,473645.0358,608040.3549,16110865,15076399,2.94%,4.03%
Maldives,1990,MDV,2290.304855,3042.498197,114440,108780,2.00%,2.80%
Maldives,1991,MDV,2351.71407,3168.329556,117440,112314,2.00%,2.82%
Maldives,1992,MDV,2421.293528,3308.262291,120411,115785,2.01%,2.86%
Maldives,1993,MDV,2489.222255,3444.152916,123301,119153,2.02%,2.89%
Maldives,1994,MDV,2565.349078,3601.54212,126055,122384,2.04%,2.94%
Maldives,1995,MDV,2655.231057,3758.486861,128649,125426,2.06%,3.00%
Maldives,1996,MDV,2727.624948,3879.585129,131041,128287,2.08%,3.02%
Maldives,1997,MDV,2817.491297,3992.470429,133310,130971,2.11%,3.05%
Maldives,1998,MDV,2904.333977,4128.651658,135689,133515,2.14%,3.09%
Maldives,1999,MDV,2991.729012,4254.459294,138491,135985,2.16%,3.13%
Maldives,2000,MDV,3098.93109,4401.099698,141957,138433,2.18%,3.18%
Maldives,2001,MDV,3190.743095,4532.004876,146161,140864,2.18%,3.22%
Maldives,2002,MDV,3274.628584,4670.170371,151044,143292,2.17%,3.26%
Maldives,2003,MDV,3360.912178,4824.656871,156465,145741,2.15%,3.31%
Maldives,2004,MDV,3443.21961,4951.985183,162199,148230,2.12%,3.34%
Maldives,2005,MDV,3534.066464,5095.247553,168064,150784,2.10%,3.38%
Maldives,2006,MDV,3620.798868,5231.172107,173970,153399,2.08%,3.41%
Maldives,2007,MDV,3700.496627,5345.721727,179979,156086,2.06%,3.42%
Maldives,2008,MDV,3781.014112,5492.299494,186172,158880,2.03%,3.46%
Maldives,2009,MDV,3880.821631,5617.848644,192699,161800,2.01%,3.47%
Maldives,2010,MDV,3956.814194,5741.514402,199635,164873,1.98%,3.48%
Maldives,2011,MDV,4031.745319,5845.31936,207021,168105,1.95%,3.48%
Maldives,2012,MDV,4110.280454,5969.595302,214727,171474,1.91%,3.48%
Maldives,2013,MDV,4188.198503,6106.282348,222476,174921,1.88%,3.49%
Maldives,2014,MDV,4278.283375,6227.255485,229876,178364,1.86%,3.49%
Maldives,2015,MDV,4343.987285,6351.782105,236665,181741,1.84%,3.49%
Maldives,2016,MDV,4430.060646,6470.976597,242718,185035,1.83%,3.50%
Mali,1990,MLI,74570.2108,125281.4625,4180008,4285177,1.78%,2.92%
Mali,1991,MLI,75677.49017,127057.6409,4271486,4381031,1.77%,2.90%
Mali,1992,MLI,77439.93064,130196.2877,4379008,4489248,1.77%,2.90%
Mali,1993,MLI,79605.53297,132984.4861,4498612,4606864,1.77%,2.89%
Mali,1994,MLI,81657.62715,136677.0513,4624085,4729295,1.77%,2.89%
Mali,1995,MLI,83908.30666,140354.5051,4751072,4853373,1.77%,2.89%
Mali,1996,MLI,85386.21685,142129.4007,4878518,4978287,1.75%,2.85%
Mali,1997,MLI,86936.24387,144261.8892,5008425,5105678,1.74%,2.83%
Mali,1998,MLI,88989.8829,146906.4273,5143141,5237688,1.73%,2.80%
Mali,1999,MLI,90966.51683,149845.9093,5286202,5377523,1.72%,2.79%
Mali,2000,MLI,93312.2558,152631.4934,5440204,5527488,1.72%,2.76%
Mali,2001,MLI,95702.5357,156090.3044,5605344,5687911,1.71%,2.74%
Mali,2002,MLI,98521.44563,159561.9342,5780795,5858145,1.70%,2.72%
Mali,2003,MLI,101467.0793,163415.8539,5966827,6038299,1.70%,2.71%
Mali,2004,MLI,104789.0526,168038.7926,6163582,6228325,1.70%,2.70%
Mali,2005,MLI,108213.7454,172861.7635,6370826,6427935,1.70%,2.69%
Mali,2006,MLI,111378.3113,177251.2406,6589364,6637702,1.69%,2.67%
Mali,2007,MLI,114639.5904,181927.0411,6818466,6857149,1.68%,2.65%
Mali,2008,MLI,118599.6017,187454.2052,7054635,7083581,1.68%,2.65%
Mali,2009,MLI,122269.078,192714.1769,7293186,7313414,1.68%,2.64%
Mali,2010,MLI,126369.4636,198676.0188,7530904,7544177,1.68%,2.63%
Mali,2011,MLI,130364.5282,204619.4314,7766276,7774714,1.68%,2.63%
Mali,2012,MLI,134586.2278,211258.8352,8000630,8006035,1.68%,2.64%
Mali,2013,MLI,139198.451,217640.6495,8237292,8240526,1.69%,2.64%
Mali,2014,MLI,144081.2956,225336.3666,8481116,8481738,1.70%,2.66%
Mali,2015,MLI,149167.6055,232868.4272,8735645,8732268,1.71%,2.67%
Mali,2016,MLI,154941.6472,241067.9018,9001950,8992885,1.72%,2.68%
Malta,1990,MLT,4284.752387,8338.985665,180092,184345,2.38%,4.52%
Malta,1991,MLT,4326.509054,8374.010133,181714,185815,2.38%,4.51%
Malta,1992,MLT,4364.914295,8452.907233,183340,187300,2.38%,4.51%
Malta,1993,MLT,4429.41696,8530.758232,184993,188791,2.39%,4.52%
Malta,1994,MLT,4479.74401,8596.830715,186712,190297,2.40%,4.52%
Malta,1995,MLT,4533.743869,8668.229048,188502,191802,2.41%,4.52%
Malta,1996,MLT,4587.841878,8758.084825,190395,193316,2.41%,4.53%
Malta,1997,MLT,4646.299169,8864.059501,192360,194823,2.42%,4.55%
Malta,1998,MLT,4709.00423,8946.655314,194310,196300,2.42%,4.56%
Malta,1999,MLT,4760.973239,9046.174648,196107,197702,2.43%,4.58%
Malta,2000,MLT,4831.35161,9149.609258,197661,199012,2.44%,4.60%
Malta,2001,MLT,4878.746193,9242.588378,198942,200215,2.45%,4.62%
Malta,2002,MLT,4911.22017,9345.95955,199992,201304,2.46%,4.64%
Malta,2003,MLT,4979.050737,9437.099843,200874,202334,2.48%,4.66%
Malta,2004,MLT,5039.536804,9555.704654,201691,203317,2.50%,4.70%
Malta,2005,MLT,5096.395895,9654.066835,202503,204287,2.52%,4.73%
Malta,2006,MLT,5163.2666,9700.811649,203318,205250,2.54%,4.73%
Malta,2007,MLT,5231.540167,9741.401938,204126,206198,2.56%,4.72%
Malta,2008,MLT,5294.304294,9775.671863,205002,207127,2.58%,4.72%
Malta,2009,MLT,5340.217273,9802.571017,206001,208043,2.59%,4.71%
Malta,2010,MLT,5399.355937,9836.55297,207165,208949,2.61%,4.71%
Malta,2011,MLT,5454.414828,9957.75494,208531,209839,2.62%,4.75%
Malta,2012,MLT,5508.884868,10068.98315,210082,210709,2.62%,4.78%
Malta,2013,MLT,5553.658443,10186.06743,211693,211556,2.62%,4.81%
Malta,2014,MLT,5605.365872,10254.83254,213202,212364,2.63%,4.83%
Malta,2015,MLT,5645.828353,10340.98836,214501,213116,2.63%,4.85%
Malta,2016,MLT,5687.010561,10417.54163,215543,213814,2.64%,4.87%
Marshall Islands,1990,MHL,474.5130245,587.1795387,23649,23649,2.01%,2.48%
Marshall Islands,1991,MHL,488.701208,604.5859115,24237.5,24237.5,2.02%,2.49%
Marshall Islands,1992,MHL,501.0037702,620.0787461,24689,24689,2.03%,2.51%
Marshall Islands,1993,MHL,512.3281127,632.9685425,25024,25024,2.05%,2.53%
Marshall Islands,1994,MHL,524.0514594,645.6439413,25287.5,25287.5,2.07%,2.55%
Marshall Islands,1995,MHL,533.4624504,657.6665521,25507.5,25507.5,2.09%,2.58%
Marshall Islands,1996,MHL,539.1918745,667.2107812,25700.5,25700.5,2.10%,2.60%
Marshall Islands,1997,MHL,546.0384953,678.1265985,25846,25846,2.11%,2.62%
Marshall Islands,1998,MHL,553.0253223,689.8699565,25962.5,25962.5,2.13%,2.66%
Marshall Islands,1999,MHL,563.2718147,702.7391585,26039.5,26039.5,2.16%,2.70%
Marshall Islands,2000,MHL,571.298435,716.2237149,26079.5,26079.5,2.19%,2.75%
Marshall Islands,2001,MHL,581.2997588,732.1494075,26091.5,26091.5,2.23%,2.81%
Marshall Islands,2002,MHL,597.5041376,748.7794181,26079,26079,2.29%,2.87%
Marshall Islands,2003,MHL,612.4940724,768.7882589,26058,26058,2.35%,2.95%
Marshall Islands,2004,MHL,627.996267,791.3635812,26037,26037,2.41%,3.04%
Marshall Islands,2005,MHL,646.6402684,813.0850409,26027.5,26027.5,2.48%,3.12%
Marshall Islands,2006,MHL,665.0971952,833.7529621,26039,26039,2.55%,3.20%
Marshall Islands,2007,MHL,682.7489943,853.9948543,26068.5,26068.5,2.62%,3.28%
Marshall Islands,2008,MHL,701.5120866,876.9663411,26109,26109,2.69%,3.36%
Marshall Islands,2009,MHL,720.810012,897.7056461,26160,26160,2.76%,3.43%
Marshall Islands,2010,MHL,741.5823047,919.6350741,26212.5,26212.5,2.83%,3.51%
Marshall Islands,2011,MHL,757.5111684,941.2344517,26271,26271,2.88%,3.58%
Marshall Islands,2012,MHL,772.4486309,965.0485424,26331.5,26331.5,2.93%,3.66%
Marshall Islands,2013,MHL,792.4122004,989.4851722,26396.5,26396.5,3.00%,3.75%
Marshall Islands,2014,MHL,810.0326106,1013.318874,26449,26449,3.06%,3.83%
Marshall Islands,2015,MHL,827.0605553,1037.431422,26497,26497,3.12%,3.92%
Marshall Islands,2016,MHL,871.5905074,1094.991032,26533,26533,3.28%,4.13%
Mauritania,1990,MRT,20810.48859,28731.60161,1012198,1017953,2.06%,2.82%
Mauritania,1991,MRT,21327.2505,29474.71419,1039493,1045710,2.05%,2.82%
Mauritania,1992,MRT,21941.00802,30360.91346,1067306,1074147,2.06%,2.83%
Mauritania,1993,MRT,22514.53072,31280.84865,1096170,1103627,2.05%,2.83%
Mauritania,1994,MRT,23206.97276,32229.59623,1126809,1134586,2.06%,2.84%
Mauritania,1995,MRT,23898.903,33286.34983,1159734,1167347,2.06%,2.85%
Mauritania,1996,MRT,24552.00355,34113.75813,1195161,1202081,2.05%,2.84%
Mauritania,1997,MRT,25317.14559,34869.3605,1232930,1238669,2.05%,2.82%
Mauritania,1998,MRT,26081.3467,35867.19109,1272500,1276724,2.05%,2.81%
Mauritania,1999,MRT,26852.03016,36740.63777,1313082,1315710,2.04%,2.79%
Mauritania,2000,MRT,27729.49986,37796.93521,1354129,1355236,2.05%,2.79%
Mauritania,2001,MRT,28622.62558,38937.17439,1395504,1395220,2.05%,2.79%
Mauritania,2002,MRT,29581.74414,40151.75108,1437423,1435805,2.06%,2.80%
Mauritania,2003,MRT,30597.25693,41492.16628,1480027,1477101,2.07%,2.81%
Mauritania,2004,MRT,31588.52376,42738.43864,1523557,1519266,2.07%,2.81%
Mauritania,2005,MRT,32736.41408,44112.12241,1568249,1562468,2.09%,2.82%
Mauritania,2006,MRT,33658.12704,45339.15548,1614018,1606640,2.09%,2.82%
Mauritania,2007,MRT,34563.66853,46648.38135,1660866,1651799,2.08%,2.82%
Mauritania,2008,MRT,35469.02105,47849.04045,1709220,1698322,2.08%,2.82%
Mauritania,2009,MRT,36446.35267,49305.58859,1759633,1746655,2.07%,2.82%
Mauritania,2010,MRT,37545.04843,50642.38513,1812440,1797102,2.07%,2.82%
Mauritania,2011,MRT,38740.02968,52195.82586,1867839,1849827,2.07%,2.82%
Mauritania,2012,MRT,39935.69933,54062.07649,1925593,1904645,2.07%,2.84%
Mauritania,2013,MRT,41408.27694,55737.0623,1985103,1961066,2.09%,2.84%
Mauritania,2014,MRT,42789.75047,57614.6018,2045520,2018407,2.09%,2.85%
Mauritania,2015,MRT,44200.265,59493.77384,2106193,2076145,2.10%,2.87%
Mauritania,2016,MRT,45729.86037,61436.76354,2166900,2134122,2.11%,2.88%
Mauritius,1990,MUS,14624.83975,22119.39783,526543,529326,2.78%,4.18%
Mauritius,1991,MUS,14916.957,22482.82484,533023,535410,2.80%,4.20%
Mauritius,1992,MUS,15188.03481,22837.1597,540371,542577,2.81%,4.21%
Mauritius,1993,MUS,15505.73396,23252.7502,548164,550440,2.83%,4.22%
Mauritius,1994,MUS,15806.74628,23666.13075,555742,558404,2.84%,4.24%
Mauritius,1995,MUS,16113.08602,24105.97604,562649,566027,2.86%,4.26%
Mauritius,1996,MUS,16309.82994,24480.34914,568752,573200,2.87%,4.27%
Mauritius,1997,MUS,16556.85094,24957.55318,574154,579987,2.88%,4.30%
Mauritius,1998,MUS,16766.56869,25550.91332,578975,586317,2.90%,4.36%
Mauritius,1999,MUS,17062.32551,26065.79413,583432,592139,2.92%,4.40%
Mauritius,2000,MUS,17299.84045,26625.00062,587693,597454,2.94%,4.46%
Mauritius,2001,MUS,17497.11802,26947.28802,591742,602169,2.96%,4.48%
Mauritius,2002,MUS,17666.84378,27154.05227,595522,606283,2.97%,4.48%
Mauritius,2003,MUS,17784.52175,27335.58178,599080,609912,2.97%,4.48%
Mauritius,2004,MUS,17936.37471,27552.95976,602431,613237,2.98%,4.49%
Mauritius,2005,MUS,18146.30871,27813.11007,605620,616390,3.00%,4.51%
Mauritius,2006,MUS,18349.76398,27995.80796,608664,619429,3.01%,4.52%
Mauritius,2007,MUS,18559.71148,28250.19454,611577,622333,3.03%,4.54%
Mauritius,2008,MUS,18853.30783,28484.33734,614267,625029,3.07%,4.56%
Mauritius,2009,MUS,19162.87178,28744.74959,616624,627398,3.11%,4.58%
Mauritius,2010,MUS,19397.71443,29044.28377,618578,629375,3.14%,4.61%
Mauritius,2011,MUS,19626.48298,29305.2362,620095,630924,3.17%,4.64%
Mauritius,2012,MUS,19807.28671,29570.27943,621240,632128,3.19%,4.68%
Mauritius,2013,MUS,20047.51344,29821.72032,622127,633164,3.22%,4.71%
Mauritius,2014,MUS,20219.26299,30022.48508,622929,634282,3.25%,4.73%
Mauritius,2015,MUS,20399.54763,30268.66939,623795,635662,3.27%,4.76%
Mauritius,2016,MUS,20607.69508,30527.60652,624750,637376,3.30%,4.79%
Mexico,1990,MEX,721077.2791,1111722.759,42450710,42907163,1.70%,2.59%
Mexico,1991,MEX,737699.5444,1150230.094,43288262,43783242,1.70%,2.63%
Mexico,1992,MEX,755366.6421,1191025.765,44145043,44683267,1.71%,2.67%
Mexico,1993,MEX,773058.2048,1234178.924,45008866,45591585,1.72%,2.71%
Mexico,1994,MEX,791703.4813,1276841.453,45862758,46486388,1.73%,2.75%
Mexico,1995,MEX,809737.4208,1322317.713,46694161,47351432,1.73%,2.79%
Mexico,1996,MEX,833709.2745,1360779.327,47502197,48185259,1.76%,2.82%
Mexico,1997,MEX,858671.8801,1400870.709,48290058,48991681,1.78%,2.86%
Mexico,1998,MEX,883922.2003,1440716.534,49054698,49766761,1.80%,2.89%
Mexico,1999,MEX,908600.6197,1480525.573,49793442,50507140,1.82%,2.93%
Mexico,2000,MEX,933886.2565,1521777.119,50506620,51213048,1.85%,2.97%
Mexico,2001,MEX,958848.9705,1555367.147,51188839,51878239,1.87%,3.00%
Mexico,2002,MEX,984056.1224,1588753.552,51845958,52509645,1.90%,3.03%
Mexico,2003,MEX,1009575.516,1623829.122,52503482,53136975,1.92%,3.06%
Mexico,2004,MEX,1036676.239,1660692.913,53195536,53800047,1.95%,3.09%
Mexico,2005,MEX,1065681.302,1700086.377,53945653,54526576,1.98%,3.12%
Mexico,2006,MEX,1091827.232,1732336.027,54763986,55328393,1.99%,3.13%
Mexico,2007,MEX,1118812.696,1766696.424,55641107,56195235,2.01%,3.14%
Mexico,2008,MEX,1149112.316,1802779.813,56556591,57105224,2.03%,3.16%
Mexico,2009,MEX,1178921.222,1840229.923,57479951,58025277,2.05%,3.17%
Mexico,2010,MEX,1209853.908,1879382.619,58388317,58930623,2.07%,3.19%
Mexico,2011,MEX,1246035.498,1920049.907,59275314,59814708,2.10%,3.21%
Mexico,2012,MEX,1281788.185,1961511.738,60145500,60682809,2.13%,3.23%
Mexico,2013,MEX,1319122.523,2002887.616,60999974,61535992,2.16%,3.25%
Mexico,2014,MEX,1357645.829,2043579.402,61843000,62378594,2.20%,3.28%
Mexico,2015,MEX,1395659.9,2084432.44,62677416,63213534,2.23%,3.30%
Mexico,2016,MEX,1434688.322,2126153.273,63501510,64038920,2.26%,3.32%
Micronesia (country),1990,FSM,1008.47591,1250.387142,213923,199365,0.47%,0.63%
Micronesia (country),1991,FSM,1039.166323,1287.30906,219455,205130,0.47%,0.63%
Micronesia (country),1992,FSM,1072.738408,1327.645398,224646,210968,0.48%,0.63%
Micronesia (country),1993,FSM,1108.712192,1362.926894,229420,216765,0.48%,0.63%
Micronesia (country),1994,FSM,1139.438107,1398.377092,233743,222401,0.49%,0.63%
Micronesia (country),1995,FSM,1166.550058,1432.396371,237569,227808,0.49%,0.63%
Micronesia (country),1996,FSM,1178.609559,1452.363636,240854,232933,0.49%,0.62%
Micronesia (country),1997,FSM,1182.628063,1465.769764,243638,237773,0.49%,0.62%
Micronesia (country),1998,FSM,1183.554677,1479.897607,245940,242095,0.48%,0.61%
Micronesia (country),1999,FSM,1188.97345,1492.654394,247816,245682,0.48%,0.61%
Micronesia (country),2000,FSM,1191.054374,1507.01243,249315,248308,0.48%,0.61%
Micronesia (country),2001,FSM,1188.456788,1506.927838,250499,249956,0.47%,0.60%
Micronesia (country),2002,FSM,1195.779575,1511.772293,251349,250721,0.48%,0.60%
Micronesia (country),2003,FSM,1198.786595,1513.219992,251960,250823,0.48%,0.60%
Micronesia (country),2004,FSM,1207.951812,1518.917964,252331,250558,0.48%,0.61%
Micronesia (country),2005,FSM,1212.31927,1521.609612,252564,250175,0.48%,0.61%
Micronesia (country),2006,FSM,1220.525482,1523.112985,252649,249777,0.48%,0.61%
Micronesia (country),2007,FSM,1223.044945,1519.635977,252663,249363,0.48%,0.61%
Micronesia (country),2008,FSM,1233.594934,1519.674703,252702,249067,0.49%,0.61%
Micronesia (country),2009,FSM,1241.070065,1522.010904,252984,249063,0.49%,0.61%
Micronesia (country),2010,FSM,1250.066232,1524.719178,253593,249452,0.49%,0.61%
Micronesia (country),2011,FSM,1255.004263,1533.464618,254606,250354,0.49%,0.61%
Micronesia (country),2012,FSM,1262.266448,1536.705388,255989,251699,0.49%,0.61%
Micronesia (country),2013,FSM,1273.642548,1550.322603,257707,253439,0.49%,0.61%
Micronesia (country),2014,FSM,1284.094881,1566.361881,259604,255379,0.49%,0.61%
Micronesia (country),2015,FSM,1297.411965,1579.286826,261563,257414,0.50%,0.61%
Micronesia (country),2016,FSM,1310.729418,1595.671083,263627,259523,0.50%,0.61%
Middle SDI,1990,NA,20706770.58,32598661.74,NA,NA,NA,NA
Middle SDI,1991,NA,21081080.61,33067551.37,NA,NA,NA,NA
Middle SDI,1992,NA,21524118.63,33637205.59,NA,NA,NA,NA
Middle SDI,1993,NA,21988008.5,34255176.7,NA,NA,NA,NA
Middle SDI,1994,NA,22457697.43,34877331.92,NA,NA,NA,NA
Middle SDI,1995,NA,22938005.15,35521936.91,NA,NA,NA,NA
Middle SDI,1996,NA,23426721.71,36170953.18,NA,NA,NA,NA
Middle SDI,1997,NA,23909441.34,36815871.22,NA,NA,NA,NA
Middle SDI,1998,NA,24400524.46,37458960.79,NA,NA,NA,NA
Middle SDI,1999,NA,24915328.16,38157288.3,NA,NA,NA,NA
Middle SDI,2000,NA,25476739.97,38936401.98,NA,NA,NA,NA
Middle SDI,2001,NA,25901669.6,39622965.87,NA,NA,NA,NA
Middle SDI,2002,NA,26352048.79,40323637.35,NA,NA,NA,NA
Middle SDI,2003,NA,26811899.27,41081522.15,NA,NA,NA,NA
Middle SDI,2004,NA,27286524.6,41843607.95,NA,NA,NA,NA
Middle SDI,2005,NA,27779447.98,42641273.08,NA,NA,NA,NA
Middle SDI,2006,NA,28175083.83,43232872.21,NA,NA,NA,NA
Middle SDI,2007,NA,28578644.95,43848360.67,NA,NA,NA,NA
Middle SDI,2008,NA,29023548.12,44523326.79,NA,NA,NA,NA
Middle SDI,2009,NA,29451401.36,45196616.25,NA,NA,NA,NA
Middle SDI,2010,NA,29902819.85,45892519.25,NA,NA,NA,NA
Middle SDI,2011,NA,30243055.35,46429373.1,NA,NA,NA,NA
Middle SDI,2012,NA,30575337.79,46966550.73,NA,NA,NA,NA
Middle SDI,2013,NA,30907412.19,47510130.77,NA,NA,NA,NA
Middle SDI,2014,NA,31243712.88,48052258.7,NA,NA,NA,NA
Middle SDI,2015,NA,31598014.69,48607964.83,NA,NA,NA,NA
Middle SDI,2016,NA,31917987.03,49114584.74,NA,NA,NA,NA
Moldova,1990,MDA,59328.16446,108309.3087,2080056,2284057,2.85%,4.74%
Moldova,1991,MDA,59452.15788,107945.2925,2085662,2287925,2.85%,4.72%
Moldova,1992,MDA,59534.31051,107783.3062,2087391,2287916,2.85%,4.71%
Moldova,1993,MDA,59675.26287,107214.6496,2085493,2284158,2.86%,4.69%
Moldova,1994,MDA,59803.93923,107014.9065,2080374,2276910,2.87%,4.70%
Moldova,1995,MDA,59820.90834,106818.8936,2072507,2266579,2.89%,4.71%
Moldova,1996,MDA,59930.3772,106397.0226,2061765,2252928,2.91%,4.72%
Moldova,1997,MDA,59999.08317,105567.0484,2048517,2236412,2.93%,4.72%
Moldova,1998,MDA,60000.10643,104980.9236,2034342,2218931,2.95%,4.73%
Moldova,1999,MDA,60157.42514,104503.9429,2021280,2202987,2.98%,4.74%
Moldova,2000,MDA,60351.00188,104335.8624,2010771,2190316,3.00%,4.76%
Moldova,2001,MDA,60493.75067,104002.3884,2003586,2181924,3.02%,4.77%
Moldova,2002,MDA,60667.2921,103840.5257,1999355,2177262,3.03%,4.77%
Moldova,2003,MDA,61088.42242,104088.1864,1996960,2174685,3.06%,4.79%
Moldova,2004,MDA,61430.74891,104444.5505,1994670,2171665,3.08%,4.81%
Moldova,2005,MDA,61693.41008,104552.0441,1991243,2166465,3.10%,4.83%
Moldova,2006,MDA,61853.92739,104466.4639,1986288,2158441,3.11%,4.84%
Moldova,2007,MDA,61968.60548,104283.6382,1980280,2148385,3.13%,4.85%
Moldova,2008,MDA,61908.91991,103684.6071,1973878,2137562,3.14%,4.85%
Moldova,2009,MDA,61971.85981,103436.849,1968133,2127904,3.15%,4.86%
Moldova,2010,MDA,62096.83861,103393.6681,1963731,2120759,3.16%,4.88%
Moldova,2011,MDA,62228.93331,103799.714,1960867,2116502,3.17%,4.90%
Moldova,2012,MDA,62270.91071,104288.4645,1959154,2114553,3.18%,4.93%
Moldova,2013,MDA,62697.34147,104733.6622,1957925,2114038,3.20%,4.95%
Moldova,2014,MDA,62912.88096,105559.5666,1956235,2113700,3.22%,4.99%
Moldova,2015,MDA,63032.25424,105974.6095,1953406,2112571,3.23%,5.02%
Moldova,2016,MDA,63160.09158,106432.3865,1949209,2110400,3.24%,5.04%
Mongolia,1990,MNG,24587.93683,34242.27997,1078252,1105887,2.28%,3.10%
Mongolia,1991,MNG,25235.42147,34936.94072,1095370,1122552,2.30%,3.11%
Mongolia,1992,MNG,25970.52022,35660.91738,1108549,1134961,2.34%,3.14%
Mongolia,1993,MNG,26729.30102,36440.7076,1119001,1144208,2.39%,3.18%
Mongolia,1994,MNG,27458.97978,37115.62432,1128518,1151972,2.43%,3.22%
Mongolia,1995,MNG,28300.62933,37859.18008,1138463,1159573,2.49%,3.26%
Mongolia,1996,MNG,29068.45739,38428.40699,1149256,1167309,2.53%,3.29%
Mongolia,1997,MNG,29878.44675,39012.36364,1160613,1175082,2.57%,3.32%
Mongolia,1998,MNG,30656.36453,39644.58229,1172366,1183220,2.61%,3.35%
Mongolia,1999,MNG,31544.37952,40356.91214,1184113,1192052,2.66%,3.39%
Mongolia,2000,MNG,32518.07621,41124.13492,1195613,1201827,2.72%,3.42%
Mongolia,2001,MNG,33348.94402,41974.72357,1206949,1212822,2.76%,3.46%
Mongolia,2002,MNG,34206.70408,42997.4338,1218443,1225212,2.81%,3.51%
Mongolia,2003,MNG,35166.11664,44105.62779,1230381,1238912,2.86%,3.56%
Mongolia,2004,MNG,36159.11041,45210.09198,1243109,1253720,2.91%,3.61%
Mongolia,2005,MNG,37037.26128,46396.87796,1256932,1269518,2.95%,3.65%
Mongolia,2006,MNG,37960.15835,47516.09915,1271820,1286190,2.98%,3.69%
Mongolia,2007,MNG,38798.74428,48492.17113,1287811,1303861,3.01%,3.72%
Mongolia,2008,MNG,39726.36764,49587.86849,1305232,1322891,3.04%,3.75%
Mongolia,2009,MNG,40554.91004,50656.57774,1324517,1343771,3.06%,3.77%
Mongolia,2010,MNG,41516.6629,51742.3478,1345895,1366755,3.08%,3.79%
Mongolia,2011,MNG,41967.53304,52547.86774,1369527,1391986,3.06%,3.78%
Mongolia,2012,MNG,42347.13401,53348.12303,1395091,1419132,3.04%,3.76%
Mongolia,2013,MNG,42789.90547,54452.89287,1421738,1447366,3.01%,3.76%
Mongolia,2014,MNG,43205.95932,55358.78569,1448320,1475578,2.98%,3.75%
Mongolia,2015,MNG,43599.61403,56242.04894,1473946,1502930,2.96%,3.74%
Mongolia,2016,MNG,43973.69395,57204.50034,1498287,1529109,2.93%,3.74%
Montenegro,1990,MNE,5969.640071,10190.62384,306214,308789,1.95%,3.30%
Montenegro,1991,MNE,6027.012495,10305.57226,306731,309012,1.96%,3.34%
Montenegro,1992,MNE,6130.047802,10417.35464,307367,309807,1.99%,3.36%
Montenegro,1993,MNE,6185.006206,10521.84333,307961,310900,2.01%,3.38%
Montenegro,1994,MNE,6251.038361,10616.94236,308244,311832,2.03%,3.40%
Montenegro,1995,MNE,6315.942096,10779.95444,308088,312330,2.05%,3.45%
Montenegro,1996,MNE,6356.699259,10859.35651,307424,312285,2.07%,3.48%
Montenegro,1997,MNE,6380.163591,10946.19451,306375,311847,2.08%,3.51%
Montenegro,1998,MNE,6418.633506,11062.71729,305132,311210,2.10%,3.55%
Montenegro,1999,MNE,6458.705823,11154.35466,303957,310697,2.12%,3.59%
Montenegro,2000,MNE,6502.741859,11260.8992,303053,310503,2.15%,3.63%
Montenegro,2001,MNE,6530.435452,11313.70335,302472,310696,2.16%,3.64%
Montenegro,2002,MNE,6552.208092,11362.48591,302179,311206,2.17%,3.65%
Montenegro,2003,MNE,6611.659494,11448.33515,302162,311930,2.19%,3.67%
Montenegro,2004,MNE,6628.2039,11551.88528,302409,312738,2.19%,3.69%
